model,eval_type,k,method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity,method_error
Hard-BetaVAE,genre_labeled,18,KMeans,0.1979575902223587,7470.32174162104,1.3019006020891346,0.09261641664656198,0.20966291285294678,0.3739903802522915,
Hard-BetaVAE,genre_labeled,18,GMM,0.19392134249210358,6947.222151405573,1.3274371840339394,0.09788565075002022,0.2112342980353906,0.37299210454669207,
Hard-BetaVAE,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-BetaVAE,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,language,2,KMeans,0.723643958568573,3696.954404406595,1.147285058657714,0.0040235118429315766,0.04864109805933755,0.5317448423997203,
Hard-CVAE,language,2,GMM,0.806281328201294,468.492445097268,4.15845164286311,0.0010725567687808132,0.02655240555182162,0.5164094110594935,
Hard-CVAE,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,genre_all,10,KMeans,0.5968388915061951,5043.106184783784,0.8862266919620916,0.0533179867974991,0.24532690667939794,0.5427344023177981,
Hard-CVAE,genre_all,10,GMM,0.736880898475647,2528.1970495099977,0.5420632336623981,0.04124236610204207,0.10083822264448104,0.48873570108397024,
Hard-CVAE,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,genre_labeled,18,KMeans,0.6535240411758423,4249.539244581041,0.6025170343672439,0.03740973228435259,0.2778316387374242,0.3502132679916508,
Hard-CVAE,genre_labeled,18,GMM,0.6592579483985901,1480.7243942380783,0.5641678021084691,0.0022987842546458555,0.12531562235581903,0.20056266448861057,
Hard-CVAE,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-CVAE,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,language,2,KMeans,0.5438949465751648,38600.86619673847,0.6302971674133082,0.00500330980914881,0.003669970763680896,0.5355412358259654,
Hard-MultiModalVAE,language,2,GMM,0.525460958480835,36007.73586759752,0.6468913819936439,0.003855971137893284,0.0028600436714138525,0.5312453169488985,
Hard-MultiModalVAE,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,genre_all,10,KMeans,0.27331310510635376,26356.53786568017,1.0837853507603352,0.03526626798168201,0.1564124692624227,0.4657575303461711,
Hard-MultiModalVAE,genre_all,10,GMM,0.1697058081626892,15607.504287189662,1.4628856690113532,0.07536451630566003,0.25194836749602423,0.49952545082171934,
Hard-MultiModalVAE,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,genre_labeled,18,KMeans,0.2318473607301712,13513.546450371583,1.1330394792965197,0.08765205303347444,0.1983325025592183,0.34867047826481534,
Hard-MultiModalVAE,genre_labeled,18,GMM,0.18594945967197418,10985.02772671011,1.2500706288211427,0.10465461712763914,0.20910765394744504,0.3611035484163717,
Hard-MultiModalVAE,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Hard-MultiModalVAE,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,language,2,KMeans,0.29262804985046387,8632.143703450838,1.4189700132251428,0.131516398425813,0.11495467265530684,0.6813527149208252,
Baseline-PCA32-mel,language,2,GMM,0.16351087391376495,4076.5035985224567,2.0818958173895195,0.03238211439608968,0.024937324255396992,0.5900394625106149,
Baseline-PCA32-mel,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,genre_all,10,KMeans,0.15507647395133972,3649.8275228524985,1.7300698607910676,0.14191693966095292,0.35096255532352777,0.579599380588441,
Baseline-PCA32-mel,genre_all,10,GMM,0.011326112784445286,1596.1462588966926,3.677880982310891,0.22359987638573606,0.4620903810816221,0.6512812827813577,
Baseline-PCA32-mel,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,genre_labeled,18,KMeans,0.08392901718616486,1074.0282969418292,2.1334726948149805,0.10952928644784761,0.19444384607701024,0.3494872492966694,
Baseline-PCA32-mel,genre_labeled,18,GMM,-0.05457691848278046,401.6789770367983,4.565540450743928,0.16588797709843858,0.28903433844753335,0.4513113712678101,
Baseline-PCA32-mel,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-mel,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,language,2,KMeans,0.13640372455120087,3374.504134492014,2.365052484129958,0.001100597745165535,0.0008298033571094751,0.5169588890553973,
Baseline-PCA32-combined,language,2,GMM,0.10096585750579834,2222.9619113137005,2.8893557679393824,0.028475155682159737,0.020681409558220423,0.5844447774614117,
Baseline-PCA32-combined,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,genre_all,10,KMeans,0.06933262944221497,1187.144271845449,2.5441732833746054,0.1717947604423049,0.3764389970096702,0.6159648334082621,
Baseline-PCA32-combined,genre_all,10,GMM,0.010476252995431423,832.0195313121112,3.2947407234579296,0.2376593929333793,0.4331491772043744,0.6634197512363255,
Baseline-PCA32-combined,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,genre_labeled,18,KMeans,0.04228179156780243,422.9998393682479,2.657481406494073,0.14335827795643857,0.24612465285461194,0.42027407205735545,
Baseline-PCA32-combined,genre_labeled,18,GMM,-0.0010990607552230358,280.67511795817626,3.4049891755081583,0.14734562909865492,0.2518725914043902,0.3945911607223886,
Baseline-PCA32-combined,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Baseline-PCA32-combined,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
