method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
BetaVAE (beta=1.0) + K-Means,0.25403547286987305,14076.129466162121,1.1515847916685447,0.10506862695990335,0.25026848498546844,0.5003246915430342
CVAE + K-Means,0.5952978730201721,5025.267971959579,0.7840148149733652,0.051654884775540484,0.24173837886967886,0.5407862530595934
MultiModalVAE (audio+lyrics) + K-Means,0.27331310510635376,26356.537969379144,1.0837853639640302,0.03526626798168201,0.1564124692624227,0.4657575303461711
Autoencoder + K-Means (baseline),0.01950250007212162,632.0010238399249,3.1128669453291438,0.17002195554084423,0.3775714275848601,0.6157650232279335
PCA + K-Means (baseline),0.06949445605278015,1187.142064637781,2.545276083577657,0.17211145690405327,0.377047726631387,0.6162645486787551
Raw Features + K-Means (baseline),0.0447242334485054,896.5511580333421,2.929887869812719,0.1728052908027699,0.3787830274676223,0.6171636944902342
"Spectral Clustering (baseline, n=500)",0.028883803635835648,22.977071716000385,2.7534306966776745,0.18856088435449203,0.3356165024976909,0.566
BetaVAE (beta=1.0) + GMM,0.14737555384635925,7784.304366973792,1.5076005057391484,0.13803814540045645,0.29837615790913063,0.5481292771866727
CVAE + GMM,0.7368808388710022,2528.1970580181796,0.542063249591298,0.04124236610204207,0.10083822264448104,0.48873570108397024
MultiModalVAE (audio+lyrics) + GMM,0.16406123340129852,15418.421101428155,1.4427043424440256,0.07281222674004001,0.2519058391089248,0.49882611519056896
