method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
BetaVAE (beta=1.0) + K-Means [labeled only],0.1956699639558792,7743.075125838814,1.2521680784479328,0.07929130746200728,0.16711755978101997,0.26962519284871583
CVAE + K-Means [labeled only],0.5683413743972778,3182.9340061117223,0.8748821903692685,0.026309319932387786,0.21748601206142343,0.2858698611489246
Autoencoder + K-Means (baseline) [labeled only],0.06460192799568176,247.5497954816353,2.8343053799733813,0.145788594617745,0.23684171768874104,0.35992376803702697
PCA + K-Means (baseline) [labeled only],0.08573910593986511,577.0569084838683,2.622663405413992,0.18819672757394956,0.26846255556572296,0.39168708594246304
Raw Features + K-Means (baseline) [labeled only],0.06255372613668442,430.01249398206545,2.9874069282313642,0.18998791113338093,0.2721442662050673,0.39658771213358746
MultiModalVAE (audio+lyrics) + K-Means [labeled only],0.26945245265960693,15579.981617651994,0.9834641561759533,0.09379714989870667,0.1857562303009419,0.29884744532171703
"Spectral Clustering (baseline, n=500) [labeled only]",0.028883803635835648,22.977071716000385,2.7534306966776745,0.18856088435449203,0.3356165024976909,0.566
