method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
BetaVAE (beta=1.0) + K-Means [K=2 language],0.44793424010276794,24723.812243869575,0.8164725596806254,0.009351429203168171,0.0068144341110168765,0.5484789450022479
CVAE + K-Means [K=2 language],0.723643958568573,3696.954444823051,1.1472850733527835,0.0040235118429315766,0.04864109805933755,0.5317448423997203
Autoencoder + K-Means (baseline) [K=2 language],0.12437976151704788,1553.8382102877515,3.390164366956826,0.0011384698870936954,0.000938322536122185,0.5172086517808082
PCA + K-Means (baseline) [K=2 language],0.13669180870056152,3374.5068871759045,2.3658105064565014,0.0011278849262280112,0.0008497018785139159,0.5171586992357261
Raw Features + K-Means (baseline) [K=2 language],0.11602034419775009,2698.2063780977046,2.650608525115935,0.0010803580361011457,0.0008152104350411382,0.5168090314201509
MultiModalVAE (audio+lyrics) + K-Means [K=2 language],0.5438949465751648,38600.86635521871,0.6302971674590184,0.00500330980914881,0.003669970763680896,0.5355412358259654
"Spectral Clustering (baseline, n=500) [K=2 language]",0.07855375856161118,36.50269276565742,3.5502125476957667,0.0,0.0,1.0
