model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,18,GMM,all,0.04198511317372322,10344.459684827803,2.9484672047052025,0.000661561936696272,0.003236038662247241,0.44957290573954745
MultiModalVAE,mel+lyrics,32,1.0,0.001,60,18,GMM,labeled_only,0.04110949486494064,5798.364425615242,2.8534063562824317,-0.00013001378261093786,0.005146469455240813,0.1390325800889373
PCA(16),mel,16,N/A,N/A,N/A,2,KMeans,labeled_only,0.3223561644554138,3954.366229203354,1.247720504603596,0.015710483827997605,0.049201677528254835,0.16516925310826755
PCA(16),mel,16,N/A,N/A,N/A,2,GMM,labeled_only,0.35850271582603455,139.1058480547126,1.3644028749623967,0.0008567312538398847,0.005461790467300031,0.1244214538524367
PCA(32),mel,32,N/A,N/A,N/A,2,KMeans,labeled_only,0.3050711154937744,3481.536399688258,1.3435830925234131,0.015456549971585416,0.04867659381489307,0.16453398675015882
PCA(32),mel,32,N/A,N/A,N/A,2,GMM,labeled_only,0.13068655133247375,1428.4339057238699,2.45678863291753,0.051934020447899625,0.11013340948337634,0.20727833741718849
Raw,mel,256,N/A,N/A,N/A,2,KMeans,labeled_only,0.2759772837162018,2856.0321248938276,1.5103134875563289,0.015688441013277425,0.04918373587288922,0.16507850077139485
PCA(16),mel,16,N/A,N/A,N/A,10,KMeans,labeled_only,0.14172965288162231,1655.9752535003245,1.7423169107149323,0.10723302757292334,0.18219745428779238,0.2723477629548961
PCA(16),mel,16,N/A,N/A,N/A,10,GMM,labeled_only,0.035191453993320465,777.4116897360609,2.8588214612015053,0.13935900910431306,0.23700441631582123,0.3377801978400944
PCA(32),mel,32,N/A,N/A,N/A,10,KMeans,labeled_only,0.1253746598958969,1304.6720721568765,1.8503509493763626,0.10873139422752008,0.1826519670838835,0.2733460386604955
PCA(32),mel,32,N/A,N/A,N/A,10,GMM,labeled_only,0.030395131558179855,596.9064104564384,3.323369072008095,0.16725604519519496,0.25327974505748235,0.3466739268536165
Raw,mel,256,N/A,N/A,N/A,10,KMeans,labeled_only,0.10643693804740906,970.2805288743812,2.2060460683121232,0.10736497449947302,0.18318856427092123,0.2711679825755513
